loss,accuracy,val_loss,val_accuracy
0.12435480952262878,0.9546761512756348,0.11694405972957611,0.961073100566864
0.11854090541601181,0.9569975137710571,0.11694405972957611,0.961073100566864
0.1189911961555481,0.9568656086921692,0.11694405972957611,0.961073100566864
0.1184660866856575,0.9568172693252563,0.11694405972957611,0.961073100566864
0.1188398152589798,0.9565490484237671,0.11694405972957611,0.961073100566864
0.11857213079929352,0.9567007422447205,0.11694405972957611,0.961073100566864
0.11879382282495499,0.956727147102356,0.11694405972957611,0.961073100566864
0.11813254654407501,0.9568392634391785,0.11694405972957611,0.961073100566864
0.11874639987945557,0.9567579030990601,0.11694405972957611,0.961073100566864
0.11842291802167892,0.9567205309867859,0.11694405972957611,0.961073100566864
